product_name,category,category_en,price,sales_volume,review_count,rating,origin,shipping_location,store_name,store_level,is_promoted,product_url,sku_id,price_tier,review_density,cluster,cluster_label,competitiveness_score
[VI品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,22.77,3209.0,473,4.3,浙江台州,浙江杭州,浙江果蔬专营店,专营店,0,,GEN000011,mid,0.1473979432845123,2,Budget High-Volume,33.319889248180075
[FR品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,16.44,1482.0,225,3.7,广西南宁,广西南宁,苏宁自营,,0,,GEN000012,budget,0.1518218623481781,3,Low Engagement,21.431659730449706
[UW品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,40.63,183.0,22,3.6,浙江台州,浙江杭州,苏宁自营,,1,,GEN000013,mid,0.1202185792349726,3,Low Engagement,10.254566306461076
[BZ品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,40.28,1391.0,110,4.4,陕西洛川,陕西西安,陕西果蔬专营店,专营店,1,,GEN000014,mid,0.0790797987059669,1,Mid-range Stable,15.630795827132534
[WK品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,32.22,638.0,39,3.6,四川攀枝花,四川成都,四川农产品旗舰店,旗舰店,0,,GEN000015,mid,0.061128526645768,3,Low Engagement,12.87832167493866
[IE品牌] 广西红心火龙果 净重5斤 中果 新鲜采摘,水果,Fruits,20.93,566.0,38,4.8,福建漳州,福建福州,福建果蔬专营店,专营店,0,,GEN000016,mid,0.0671378091872791,1,Mid-range Stable,10.818756943482775
[SM品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,44.74,213.0,18,4.5,广西南宁,广西南宁,苏宁自营,,0,,GEN000017,mid,0.0845070422535211,1,Mid-range Stable,8.806322984953995
[BD品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,26.58,481.0,24,4.6,广西南宁,广西南宁,广西农产品旗舰店,旗舰店,0,,GEN000018,mid,0.0498960498960499,1,Mid-range Stable,10.302928860346352
[CM品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,73.1,1608.0,146,3.9,四川攀枝花,四川成都,四川果蔬专营店,专营店,0,,GEN000019,mid,0.0907960199004975,3,Low Engagement,17.576138417997917
[AV品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,28.06,1025.0,154,4.8,浙江台州,浙江杭州,苏宁自营,,0,,GEN000020,mid,0.1502439024390243,1,Mid-range Stable,15.508596140543718
[UK品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,24.86,696.0,30,3.7,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000021,mid,0.043103448275862,3,Low Engagement,12.605819665707413
[XI品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,14.89,1471.0,286,5.0,广西南宁,广西南宁,苏宁自营,,0,,GEN000022,budget,0.1944255608429639,1,Mid-range Stable,20.867139370780805
[UJ品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,33.25,1698.0,292,4.5,福建漳州,福建福州,苏宁自营,,0,,GEN000023,mid,0.1719670200235571,2,Budget High-Volume,22.168537265468377
[YF品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,22.08,1049.0,124,5.0,福建漳州,福建福州,福建果蔬专营店,专营店,0,,GEN000024,mid,0.1182078169685414,1,Mid-range Stable,14.57541204688775
[PA品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,34.12,2586.0,112,3.0,广东茂名,广东广州,苏宁自营,,0,,GEN000025,mid,0.0433101314771848,3,Low Engagement,22.86390533634939
[BH品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,62.96,853.0,152,4.2,海南三亚,海南海口,海南农产品旗舰店,旗舰店,1,,GEN000026,mid,0.1781946072684642,3,Low Engagement,14.569081776655082
[CY品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,37.37,180.0,21,4.2,广西南宁,广西南宁,广西农产品旗舰店,旗舰店,1,,GEN000027,mid,0.1166666666666666,3,Low Engagement,9.255552713440302
[FI品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,45.17,2423.0,283,4.0,江西赣州,江西南昌,苏宁自营,,0,,GEN000028,mid,0.1167973586463062,2,Budget High-Volume,25.011827399884208
[RY品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,19.65,549.0,83,4.8,新疆阿克苏,新疆乌鲁木齐,新疆农产品旗舰店,旗舰店,0,,GEN000029,budget,0.151183970856102,1,Mid-range Stable,12.067661202416511
[UL品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,44.26,537.0,54,4.6,福建漳州,福建福州,苏宁自营,,0,,GEN000030,mid,0.1005586592178771,1,Mid-range Stable,10.812252290566907
[CK品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,37.51,1654.0,45,3.9,福建漳州,福建福州,苏宁自营,,1,,GEN000031,mid,0.0272067714631197,3,Low Engagement,15.697026758645642
[CW品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,27.7,596.0,80,3.6,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,1,,GEN000032,mid,0.1342281879194631,3,Low Engagement,13.752354157830862
[KC品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,43.24,973.0,111,4.3,陕西洛川,陕西西安,苏宁自营,,0,,GEN000033,mid,0.1140801644398766,3,Low Engagement,14.531558022374094
[EX品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,29.6,276.0,52,4.1,江西赣州,江西南昌,苏宁自营,,0,,GEN000034,mid,0.1884057971014492,3,Low Engagement,11.15576259893654
[PZ品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,27.4,438.0,41,4.2,海南三亚,海南海口,海南农产品旗舰店,旗舰店,1,,GEN000035,mid,0.093607305936073,3,Low Engagement,11.039779174672407
[NN品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,46.71,3292.0,349,4.4,河北赵县,河北石家庄,苏宁自营,,1,,GEN000036,mid,0.1060145808019441,2,Budget High-Volume,28.939369859319108
[MX品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,42.07,756.0,63,3.3,海南三亚,海南海口,苏宁自营,,1,,GEN000037,mid,0.0833333333333333,3,Low Engagement,13.934375088471834
[OE品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,34.34,836.0,82,5.0,陕西洛川,陕西西安,苏宁自营,,0,,GEN000038,mid,0.0980861244019138,1,Mid-range Stable,12.260484906313064
[ZR品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,30.51,1003.0,41,4.3,浙江台州,浙江杭州,苏宁自营,,0,,GEN000039,mid,0.040877367896311,3,Low Engagement,13.048316269269622
[YH品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,15.19,1885.0,100,4.7,四川攀枝花,四川成都,四川农产品旗舰店,旗舰店,0,,GEN000040,budget,0.053050397877984,1,Mid-range Stable,17.607662474340202
[BF品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,61.58,404.0,36,5.0,云南西双版纳,云南昆明,云南农产品旗舰店,旗舰店,1,,GEN000041,mid,0.0891089108910891,1,Mid-range Stable,8.328138031731843
[NW品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,12.86,1242.0,239,5.0,福建漳州,福建福州,福建农产品旗舰店,旗舰店,0,,GEN000042,budget,0.1924315619967793,1,Mid-range Stable,18.787960374587144
[GJ品牌] 广西红心火龙果 净重5斤 中果 新鲜采摘,水果,Fruits,17.25,523.0,32,4.3,山东烟台,山东济南,山东果蔬专营店,专营店,0,,GEN000043,budget,0.0611854684512428,1,Mid-range Stable,11.490810058073777
[XK品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,24.43,250.0,8,4.3,江西赣州,江西南昌,江西果蔬专营店,专营店,0,,GEN000044,mid,0.032,1,Mid-range Stable,9.625033973546547
[BQ品牌] 广西红心火龙果 净重5斤 中果 新鲜采摘,水果,Fruits,16.39,1141.0,43,3.8,广西南宁,广西南宁,苏宁自营,,1,,GEN000045,budget,0.0376862401402278,3,Low Engagement,14.634971103187084
[HM品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,105.89,444.0,20,4.1,江西赣州,江西南昌,江西果蔬专营店,专营店,1,,GEN000046,premium,0.045045045045045,0,Premium Niche,8.262154225394317
[TC品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,62.58,317.0,30,4.4,江西赣州,江西南昌,苏宁自营,,0,,GEN000047,mid,0.0946372239747634,1,Mid-range Stable,9.149707513180077
[IG品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,89.03,239.0,33,4.4,广东茂名,广东广州,广东农产品旗舰店,旗舰店,1,,GEN000048,premium,0.1380753138075313,1,Mid-range Stable,7.882856988231544
[VU品牌] 广西红心火龙果 净重5斤 中果 新鲜采摘,水果,Fruits,42.14,1437.0,110,3.7,广东茂名,广东广州,苏宁自营,,0,,GEN000049,mid,0.0765483646485734,3,Low Engagement,17.24485095772134
[OT品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,13.63,1183.0,236,4.4,海南三亚,海南海口,苏宁自营,,1,,GEN000050,budget,0.1994928148774302,1,Mid-range Stable,19.257837653192613
[IE品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,41.86,1037.0,195,4.0,海南三亚,海南海口,苏宁自营,,0,,GEN000051,mid,0.1880424300867888,3,Low Engagement,17.70198258689466
[FO品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,41.32,996.0,170,3.9,河北赵县,河北石家庄,河北果蔬专营店,专营店,1,,GEN000052,mid,0.1706827309236948,3,Low Engagement,16.77191565769211
[VR品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,132.69,1141.0,87,3.7,浙江台州,浙江杭州,苏宁自营,,1,,GEN000053,premium,0.0762489044697633,0,Premium Niche,12.523413415650403
[DD品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,55.94,385.0,59,4.7,广西南宁,广西南宁,广西果蔬专营店,专营店,1,,GEN000054,mid,0.1532467532467532,1,Mid-range Stable,9.61070364273657
[WK品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,80.07,432.0,25,4.8,浙江台州,浙江杭州,浙江果蔬专营店,专营店,0,,GEN000055,premium,0.0578703703703703,1,Mid-range Stable,8.180291925231337
[IB品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,47.0,1482.0,59,5.0,云南西双版纳,云南昆明,苏宁自营,,0,,GEN000056,mid,0.0398110661268556,1,Mid-range Stable,13.522725241988876
[KY品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,29.37,454.0,21,3.9,陕西洛川,陕西西安,陕西农产品旗舰店,旗舰店,1,,GEN000057,mid,0.0462555066079295,3,Low Engagement,11.001729649976085
[WN品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,19.54,755.0,92,4.5,海南三亚,海南海口,苏宁自营,,1,,GEN000058,budget,0.1218543046357615,1,Mid-range Stable,13.31531520274808
[BL品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,42.65,1487.0,188,4.3,广西南宁,广西南宁,苏宁自营,,0,,GEN000059,mid,0.1264290517821116,3,Low Engagement,18.55013730457561
[LZ品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,98.85,655.0,127,5.0,山东烟台,山东济南,苏宁自营,,0,,GEN000060,premium,0.1938931297709923,1,Mid-range Stable,10.929466180480372
[HV品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,54.72,420.0,17,3.8,福建漳州,福建福州,福建农产品旗舰店,旗舰店,0,,GEN000061,mid,0.0404761904761904,3,Low Engagement,10.446414353156982
[XE品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,49.4,676.0,126,4.7,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,0,,GEN000062,mid,0.1863905325443787,1,Mid-range Stable,13.006468927009
[NA品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,49.08,757.0,42,3.9,广东茂名,广东广州,广东农产品旗舰店,旗舰店,0,,GEN000063,mid,0.0554821664464993,3,Low Engagement,12.344619586926619
[VX品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,11.86,572.0,95,4.7,陕西洛川,陕西西安,苏宁自营,,1,,GEN000064,budget,0.1660839160839161,1,Mid-range Stable,12.629732295275545
[BP品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,40.78,314.0,19,4.4,四川攀枝花,四川成都,苏宁自营,,1,,GEN000065,mid,0.0605095541401273,1,Mid-range Stable,9.218787370118378
[AV品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,46.09,412.0,23,4.4,广东茂名,广东广州,苏宁自营,,1,,GEN000066,mid,0.0558252427184466,1,Mid-range Stable,9.51882435028645
[IL品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,36.49,339.0,46,4.5,云南西双版纳,云南昆明,云南果蔬专营店,专营店,0,,GEN000067,mid,0.135693215339233,1,Mid-range Stable,10.295070903142442
[AD品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,52.24,1802.0,321,4.8,陕西洛川,陕西西安,苏宁自营,,1,,GEN000068,mid,0.1781354051054384,2,Budget High-Volume,21.979474697461534
[DT品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,13.08,395.0,39,4.6,河北赵县,河北石家庄,河北农产品旗舰店,旗舰店,0,,GEN000069,budget,0.0987341772151898,1,Mid-range Stable,10.830568434500458
[QD品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,50.52,1177.0,108,5.0,江西赣州,江西南昌,苏宁自营,,1,,GEN000070,mid,0.0917587085811384,1,Mid-range Stable,13.443859959129249
[NA品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,52.62,1874.0,216,4.8,福建漳州,福建福州,苏宁自营,,0,,GEN000071,mid,0.1152614727854856,1,Mid-range Stable,19.53084529765127
[NC品牌] 赣南脐橙 10斤装 新鲜采摘 酸甜适口,水果,Fruits,55.74,631.0,120,4.7,广东茂名,广东广州,苏宁自营,,0,,GEN000072,mid,0.1901743264659271,1,Mid-range Stable,12.484691288434908
[JQ品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,20.15,669.0,52,4.1,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000073,mid,0.077727952167414,3,Low Engagement,12.567900723585693
[EG品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,37.11,4539.0,444,3.4,云南西双版纳,云南昆明,苏宁自营,,0,,GEN000074,mid,0.0978189028420356,2,Budget High-Volume,38.381291464051344
[SJ品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,57.14,238.0,22,4.1,山东烟台,山东济南,苏宁自营,,1,,GEN000075,mid,0.0924369747899159,3,Low Engagement,9.066308792207987
[ZS品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,76.19,839.0,109,3.8,广东茂名,广东广州,广东农产品旗舰店,旗舰店,0,,GEN000076,mid,0.1299165673420739,3,Low Engagement,13.88121753053799
[GQ品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,21.0,1331.0,142,3.9,河北赵县,河北石家庄,苏宁自营,,1,,GEN000077,mid,0.106686701728024,3,Low Engagement,17.788810839205844
[QV品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,40.85,827.0,111,4.0,广东茂名,广东广州,苏宁自营,,1,,GEN000078,mid,0.1342200725513905,3,Low Engagement,14.34331868024282
[JH品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,161.86,1286.0,213,3.3,广西南宁,广西南宁,苏宁自营,,1,,GEN000079,premium,0.1656298600311042,0,Premium Niche,16.416644751885514
[TY品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,39.99,487.0,17,4.7,云南西双版纳,云南昆明,云南果蔬专营店,专营店,0,,GEN000080,mid,0.0349075975359342,1,Mid-range Stable,9.543049022753971
[WW品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,19.87,734.0,67,4.6,云南西双版纳,云南昆明,苏宁自营,,1,,GEN000081,budget,0.0912806539509536,1,Mid-range Stable,12.348335702387079
[YY品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,64.96,325.0,58,4.1,云南西双版纳,云南昆明,云南果蔬专营店,专营店,1,,GEN000082,mid,0.1784615384615384,3,Low Engagement,10.154503976451581
[BR品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,24.93,490.0,33,5.0,海南三亚,海南海口,海南农产品旗舰店,旗舰店,0,,GEN000083,mid,0.0673469387755102,1,Mid-range Stable,9.933043267197062
[QR品牌] 广西沃柑 5斤装 薄皮多汁 新鲜采摘,水果,Fruits,46.74,310.0,39,4.8,四川攀枝花,四川成都,四川果蔬专营店,专营店,0,,GEN000084,mid,0.1258064516129032,1,Mid-range Stable,9.153697628512175
[RO品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,159.36,1735.0,315,3.5,河北赵县,河北石家庄,河北农产品旗舰店,旗舰店,0,,GEN000085,premium,0.1815561959654178,0,Premium Niche,20.88642384241466
[YH品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,24.77,2068.0,355,3.9,陕西洛川,陕西西安,陕西果蔬专营店,专营店,0,,GEN000086,mid,0.1716634429400386,2,Budget High-Volume,26.57866232346473
[UH品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,48.06,1430.0,103,3.8,海南三亚,海南海口,苏宁自营,,0,,GEN000087,mid,0.072027972027972,3,Low Engagement,16.666129241898773
[KK品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,33.54,70.0,12,3.8,海南三亚,海南海口,苏宁自营,,1,,GEN000088,mid,0.1714285714285714,3,Low Engagement,9.432830155353821
[WE品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,29.22,313.0,46,5.0,海南三亚,海南海口,苏宁自营,,0,,GEN000089,mid,0.1469648562300319,1,Mid-range Stable,9.540784831739286
[ON品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,12.6,575.0,20,4.4,云南西双版纳,云南昆明,云南果蔬专营店,专营店,0,,GEN000090,budget,0.0347826086956521,1,Mid-range Stable,11.301465610746016
[AY品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,97.99,272.0,34,4.9,四川攀枝花,四川成都,苏宁自营,,1,,GEN000091,premium,0.125,1,Mid-range Stable,6.873825481513538
[YM品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,35.26,383.0,66,4.5,云南西双版纳,云南昆明,云南果蔬专营店,专营店,0,,GEN000092,mid,0.1723237597911227,1,Mid-range Stable,11.05343627366874
[TH品牌] 陕西周至猕猴桃 5斤装 香甜软糯 维C丰富,水果,Fruits,40.35,510.0,56,4.3,陕西洛川,陕西西安,苏宁自营,,0,,GEN000093,mid,0.1098039215686274,1,Mid-range Stable,11.420986493605431
[KV品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,26.58,871.0,125,4.6,云南西双版纳,云南昆明,云南农产品旗舰店,旗舰店,0,,GEN000094,mid,0.1435132032146957,1,Mid-range Stable,14.540484828433359
[ET品牌] 丹东99草莓 3斤装 新鲜采摘 香甜可口,水果,Fruits,108.66,316.0,37,5.0,云南西双版纳,云南昆明,苏宁自营,,0,,GEN000095,premium,0.1170886075949367,1,Mid-range Stable,6.885939056527178
[UN品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,8.68,713.0,34,4.6,四川攀枝花,四川成都,苏宁自营,,1,,GEN000096,budget,0.0476858345021037,1,Mid-range Stable,11.681699564523319
[KG品牌] 智利进口车厘子 2斤装 JJ级 新鲜水果,水果,Fruits,42.78,501.0,52,4.2,广东茂名,广东广州,广东农产品旗舰店,旗舰店,0,,GEN000097,mid,0.1037924151696606,3,Low Engagement,11.37881973980399
[YN品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,24.61,514.0,35,4.7,海南三亚,海南海口,海南果蔬专营店,专营店,0,,GEN000098,mid,0.0680933852140077,1,Mid-range Stable,10.614056658520282
[LH品牌] 红富士苹果 精选大果 5斤装 脆甜多汁,水果,Fruits,45.17,475.0,65,4.7,浙江台州,浙江杭州,苏宁自营,,1,,GEN000099,mid,0.1368421052631579,1,Mid-range Stable,10.426884859647892
[GA品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,43.59,1471.0,196,4.6,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,1,,GEN000100,mid,0.133242692046227,1,Mid-range Stable,17.88961997623767
[GO品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,19.36,525.0,77,4.7,广东茂名,广东广州,广东果蔬专营店,专营店,1,,GEN000101,budget,0.1466666666666666,1,Mid-range Stable,11.726843264055981
[WD品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,54.13,787.0,126,4.4,广西南宁,广西南宁,苏宁自营,,0,,GEN000102,mid,0.1601016518424396,1,Mid-range Stable,13.786921895445555
[AJ品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,87.18,513.0,64,4.6,云南西双版纳,云南昆明,苏宁自营,,0,,GEN000103,premium,0.124756335282651,1,Mid-range Stable,9.706438697170762
[SW品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,30.29,679.0,115,4.8,新疆阿克苏,新疆乌鲁木齐,苏宁自营,,1,,GEN000104,mid,0.1693667157584683,1,Mid-range Stable,12.838704619256177
[VT品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,63.11,1472.0,244,5.0,江西赣州,江西南昌,苏宁自营,,0,,GEN000105,mid,0.1657608695652173,1,Mid-range Stable,18.22119748138287
[NV品牌] 云南高山蓝莓 4盒装 新鲜大果 酸甜可口,水果,Fruits,35.53,1334.0,119,4.1,福建漳州,福建福州,苏宁自营,,0,,GEN000106,mid,0.0892053973013493,3,Low Engagement,16.6274784788331
[NP品牌] 福建平和蜜柚 红心柚子 2个装 酸甜多汁,水果,Fruits,44.12,725.0,30,4.3,广东茂名,广东广州,广东农产品旗舰店,旗舰店,0,,GEN000107,mid,0.0413793103448275,1,Mid-range Stable,11.336610465990441
[EN品牌] 海南小台芒 5斤装 香甜多汁 新鲜当季,水果,Fruits,53.54,433.0,23,5.0,福建漳州,福建福州,苏宁自营,,0,,GEN000108,mid,0.0531177829099307,1,Mid-range Stable,8.579677603990918
[ZR品牌] 烟台红富士苹果 10斤装 脆甜多汁 产地直发,水果,Fruits,17.06,321.0,51,4.9,四川攀枝花,四川成都,四川果蔬专营店,专营店,0,,GEN000109,budget,0.1588785046728972,1,Mid-range Stable,10.256011544398051
[KH品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,61.61,1277.0,217,4.6,海南三亚,海南海口,海南农产品旗舰店,旗舰店,1,,GEN000110,mid,0.1699295223179326,1,Mid-range Stable,17.246027989295268
[YO品牌] 新疆库尔勒香梨 5斤装 皮薄肉细 香甜多汁,水果,Fruits,34.7,408.0,50,4.3,浙江台州,浙江杭州,苏宁自营,,0,,GEN000111,mid,0.1225490196078431,1,Mid-range Stable,11.060589019193385
[KF品牌] 泰国进口金枕榴莲 整果6-8斤 软糯香甜,水果,Fruits,21.58,1662.0,182,4.2,广东茂名,广东广州,苏宁自营,,0,,GEN000112,mid,0.1095066185318893,3,Low Engagement,19.818788498826272
[TW品牌] 四川攀枝花芒果 5斤装 单果200g+ 金黄果肉,水果,Fruits,19.41,628.0,112,4.5,福建漳州,福建福州,苏宁自营,,1,,GEN000113,budget,0.1783439490445859,1,Mid-range Stable,13.432555129041443
[HX品牌] 海南金钻凤梨 净重4.5斤 中果 酸甜多汁,水果,Fruits,23.4,431.0,41,4.4,福建漳州,福建福州,福建农产品旗舰店,旗舰店,0,,GEN000114,mid,0.0951276102088167,1,Mid-range Stable,11.054738132573691
